Counter,YLeftRaw,YLeft^2,YLeft^3,lefthalo, vlefthalo,vlefthalo^2,Deadband,Exoscale
55,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
56,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
57,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
58,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
59,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
60,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
61,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
62,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
63,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
64,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
65,0.007874015718698502,6.200012353831108E-5,4.881899473019104E-7,0.0,0.0,0.0,0.02,0.62793
66,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.62793
67,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.62793
68,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.62793
69,-0.0078125,6.103515625E-5,-4.76837158203125E-7,0.0,0.0,0.0,0.02,0.62793
70,-0.0078125,6.103515625E-5,-4.76837158203125E-7,0.0,0.0,0.0,0.02,0.62793
71,-0.015625,2.44140625E-4,-3.814697265625E-6,0.0,0.0,0.0,0.02,0.62793
72,-0.015625,2.44140625E-4,-3.814697265625E-6,0.0,0.0,0.0,0.02,0.62793
73,-0.0234375,5.4931640625E-4,-1.2874603271484375E-5,-0.0013383991721298365,-0.0033459979303245915,1.119570214973645E-5,0.02,0.62793
74,-0.0234375,5.4931640625E-4,-1.2874603271484375E-5,-0.0013383991721298365,-0.0033459979303245915,1.119570214973645E-5,0.02,0.62793
75,-0.0234375,5.4931640625E-4,-1.2874603271484375E-5,-0.0013383991721298365,-0.0033459979303245915,1.119570214973645E-5,0.02,0.62793
76,-0.03125,9.765625E-4,-3.0517578125E-5,-0.004381063697881856,-0.010952659244704639,1.1996074453061398E-4,0.02,0.62793
77,-0.03125,9.765625E-4,-3.0517578125E-5,-0.004381063697881856,-0.010952659244704639,1.1996074453061398E-4,0.02,0.62793
78,-0.03125,9.765625E-4,-3.0517578125E-5,-0.004381063697881856,-0.010952659244704639,1.1996074453061398E-4,0.02,0.62793
79,-0.0390625,0.00152587890625,-5.9604644775390625E-5,-0.007426435326156015,-0.01856608831539004,3.4469963533486253E-4,0.02,0.62793
80,-0.0390625,0.00152587890625,-5.9604644775390625E-5,-0.007426435326156015,-0.01856608831539004,3.4469963533486253E-4,0.02,0.62793
81,-0.0390625,0.00152587890625,-5.9604644775390625E-5,-0.007426435326156015,-0.01856608831539004,3.4469963533486253E-4,0.02,0.62793
82,-0.046875,0.002197265625,-1.02996826171875E-4,-0.010476393989259355,-0.02619098497314839,6.859676938636847E-4,0.02,0.62793
83,-0.046875,0.002197265625,-1.02996826171875E-4,-0.010476393989259355,-0.02619098497314839,6.859676938636847E-4,0.02,0.62793
84,-0.046875,0.002197265625,-1.02996826171875E-4,-0.010476393989259355,-0.02619098497314839,6.859676938636847E-4,0.02,0.62793
85,-0.046875,0.002197265625,-1.02996826171875E-4,-0.010476393989259355,-0.02619098497314839,6.859676938636847E-4,0.02,0.62793
86,-0.046875,0.002197265625,-1.02996826171875E-4,-0.010476393989259355,-0.02619098497314839,6.859676938636847E-4,0.02,0.62793
87,-0.046875,0.002197265625,-1.02996826171875E-4,-0.010476393989259355,-0.02619098497314839,6.859676938636847E-4,0.02,0.62793
88,-0.0546875,0.00299072265625,-1.6355514526367188E-4,-0.013532819619498915,-0.03383204904874729,0.0011446075428368423,0.02,0.62793
89,-0.0546875,0.00299072265625,-1.6355514526367188E-4,-0.013532819619498915,-0.03383204904874729,0.0011446075428368423,0.02,0.62793
90,-0.0546875,0.00299072265625,-1.6355514526367188E-4,-0.013532819619498915,-0.03383204904874729,0.0011446075428368423,0.02,0.62793
91,-0.0546875,0.00299072265625,-1.6355514526367188E-4,-0.013532819619498915,-0.03383204904874729,0.0011446075428368423,0.02,0.62793
92,-0.0625,0.00390625,-2.44140625E-4,-0.016597592149181738,-0.04149398037295435,0.0017217504071911206,0.02,0.62793
93,-0.0625,0.00390625,-2.44140625E-4,-0.016597592149181738,-0.04149398037295435,0.0017217504071911206,0.02,0.62793
94,-0.0625,0.00390625,-2.44140625E-4,-0.016597592149181738,-0.04149398037295435,0.0017217504071911206,0.02,0.62793
95,-0.0703125,0.00494384765625,-3.476142883300781E-4,-0.019672591510614866,-0.04918147877653717,0.0024188178546469758,0.02,0.62793
96,-0.0625,0.00390625,-2.44140625E-4,-0.016597592149181738,-0.04149398037295435,0.0017217504071911206,0.02,0.62793
97,-0.0703125,0.00494384765625,-3.476142883300781E-4,-0.019672591510614866,-0.04918147877653717,0.0024188178546469758,0.02,0.62793
